Item,Category,Items_Sold,Net_Sales,Gross_Profit,Avg_Price
Aperol Spritz,Classic Cocktails,1,7.5,7.5,7.5
Apple Juice,Soft Drinks,5,15.75,15.75,3.15
Appletizer Btl,Soft Drinks,1,3.5,3.5,3.5
Aspal Cider,Beer/Cider,6,39.0,39.0,6.5
Balauri Pinot Noir (Romania),RED WINE,4,48.5,48.5,12.12
Bello WHITE Tramonto Pinot Grigio (Italy),WHITE WINE,1,7.5,7.5,7.5
Bhuna,Traditional British Curries,7,81.26,81.26,11.61
Black Label 25ml,WHISKY,6,16.5,16.5,2.75
BOTTOMLESS CURRY THALI,BOTTOMLESS,26,336.39,336.39,12.94
Bundelkhand Nazarbattu (Inspired by the Land...),Beer/Cider,3,15.0,15.0,5.0
Butter Chicken,Classic Indian Curries,12,142.27,142.27,11.86
Butter Chicken & Rice,combo meal,3,32.85,32.85,10.95
Cappuccino/latte/Flat White,Tea/Coffee,3,9.0,9.0,3.0
Carnevale Di Chardonnay (Italy),WHITE WINE,1,7.0,7.0,7.0
Carnevale Di Merlot (Italy),RED WINE,1,20.5,20.5,20.5
Cheese Cake,DESSERTS,3,16.35,16.35,5.45
Cheese Naan,ARTISANAL INDIAN BREAD,3,12.93,12.93,4.31
Chicken Biryani,Aromatic Rice Specialities,4,49.8,49.8,12.45
Chicken Fried Momos,Fusion Indo Chinese Starters,4,32.53,32.53,8.13
Chicken Fried Rice,Fusion Indo Chinese Rice,1,7.45,7.45,7.45
Chicken Malai Tikka,Non-Veg Starters,5,34.75,34.75,6.95
Chicken Manchurian,Fusion Indo Chinese Starters,4,33.8,33.8,8.45
Chicken Manchurian Gravy,Fusion Indo Chinese Dishes,2,21.9,21.9,10.95
Chicken Schezwan Rice,Fusion Indo Chinese Rice,1,7.45,7.45,7.45
Chicken Taka Tak,Goomti Signature,3,38.85,38.85,12.95
Chicken Tikka,Non-Veg Starters,11,61.16,61.16,5.56
Chicken Tikka Masala,Classic Indian Curries,13,152.96,152.96,11.77
Chicken Tikka Wrap,Wraps,7,55.65,55.65,7.95
Chilli Chicken,Fusion Indo Chinese Starters,2,16.9,16.9,8.45
Chilli Chicken Gravy,Fusion Indo Chinese Dishes,2,21.9,21.9,10.95
Golipapper,Quick Nibbles,5,22.25,22.25,4.45
Gordeanna Jungle Ras,Beer/Cider,3,15.0,15.0,5.0
Grand Maharaja Thali,Thali,14,1039.35,1039.35,74.24
Green Salad,Sides,1,4.45,4.45,4.45
Gulab Jamun,DESSERTS,1,5.45,5.45,5.45
Honey Chilli Cauliflower,Fusion Indo Chinese Starters,2,7.45,7.45,3.72
Honey Chilli Potato,Fusion Indo Chinese Starters,4,28.68,28.68,7.17
JD0 B0,Soft Drinks,7,24.5,24.5,3.5
Jalfrezi,Traditional British Curries,5,57.25,57.25,11.45
Jaljeera Lemonade,Mocktails,18,66.0,66.0,3.67
Kadak Chai,Tea/Coffee,12,36.0,36.0,3.0
Kadhai Chicken,Classic Indian Curries,6,69.91,69.91,11.65
Kadhai Paneer,Classic Indian Curries,11,116.62,116.62,10.6
Kadha Khatta Mojto,Mocktails,7,38.5,38.5,5.5
Keema Nan,ARTISANAL INDIAN BREAD,7,34.65,34.65,4.95
Kids Butter Chicken (mild) with Rice/Chips,KIDS FAVOURITES,2,11.9,11.9,5.95
Kids Chicken Nuggets with Chips,KIDS FAVOURITES,2,9.9,9.9,4.95
Kids Fries,KIDS FAVOURITES,1,2.95,2.95,2.95
Kids Mild Chicken Korma with rice/Chips,KIDS FAVOURITES,2,11.9,11.9,5.95
Kids Noodles,KIDS FAVOURITES,3,13.32,13.32,4.44
Kingfisher 650 ml,Beer/Cider,6,32.5,32.5,5.42
Korma,Traditional British Curries,5,58.75,58.75,11.75
Lamb Chops,Non-Veg Starters,3,17.9,17.9,5.97
Lamb Rogan Josh,Classic Indian Curries,4,47.31,47.31,11.83
Lamb Saag,Classic Indian Curries,4,37.35,37.35,9.34
Lamb Seekh Kebab,Non-Veg Starters,4,30.21,30.21,7.55
Lemonade,Soft Drinks,12,33.25,33.25,2.77
Lenca Can,Soft Drinks,3,10.5,10.5,3.5
Long Island Ice Tea,Classic Cocktails,1,8.5,8.5,8.5
Louis Eschenauer Sauvignon Blanc (France),WHITE WINE,6,54.25,54.25,9.04
Lucky Leaf,Signature Cocktails,1,9.0,9.0,9.0
Madras Curry,Traditional British Curries,9,103.05,103.05,11.45
Mallakacoshal Mahua Sharbat,Beer/Cider,4,19.0,19.0,4.75
Mango Juice,Soft Drinks,2,3.5,3.5,1.75
Mango Lassi,Mocktails,12,61.6,61.6,5.13
Matar Methi Malai,Classic Indian Curries,2,21.9,21.9,10.95
Metka Chicken,Goomti Signature,8,103.6,103.6,12.95
MIXER,MIXER,2,5.0,5.0,2.5
Mojito,Classic Cocktails,1,8.5,8.5,8.5
Mushroom Pulao,Aromatic Rice Specialities,19,81.03,81.03,4.26
Mushroom Tikka,Veg Starters,2,11.9,11.9,5.95
Old J Spiced 25ml,RUM,4,18.0,18.0,4.5
Onion Pakora,Veg Starters,10,64.5,64.5,6.45
Open Food,No category,13,325.85,325.85,25.07
Orange Juice,Soft Drinks,1,3.5,3.5,3.5
Paneer Makhani,Classic Indian Curries,5,54.75,54.75,10.95
Paneer Tikka,Veg Starters,7,31.8,31.8,4.54
Pardal,Beer/Cider,11,56.1,56.1,5.1
Pathia,Traditional British Curries,1,9.91,9.91,9.91
Peacock Cider,Beer/Cider,3,19.5,19.5,6.5
Peas Pulao,Aromatic Rice Specialities,2,8.23,8.23,4.12
Peshawari Naan,ARTISANAL INDIAN BREAD,5,22.25,22.25,4.45
Pilau Rice,Aromatic Rice Specialities,27,119.26,119.26,4.42
Plain Naan,ARTISANAL INDIAN BREAD,12,41.4,41.4,3.45
Poppadoms & Chutney,Quick Nibbles,37,154.86,154.86,4.19
Raita,Sides,4,17.8,17.8,4.45
Ram Ras,Signature Cocktails,1,9.0,9.0,9.0
RARA CHICKEN,Goomti Signature,5,64.75,64.75,12.95
Rara Lamb,Goomti Signature,9,125.55,125.55,13.95
Saag Aloo Palak,Classic Indian Curries,3,29.85,29.85,9.95
Sabzi Masala,Classic Indian Curries,1,9.95,9.95,9.95
Six Tapas & Drinks,voucher,2,70.0,70.0,35.0
Soda or water Cordial (Blackcurrant/Orange/Li...),Soft Drinks,6,6.75,6.75,1.12
Steamed Basmati Rice,Aromatic Rice Specialities,17,67.15,67.15,3.95
Strathmore Sparkling 750 ml,Soft Drinks,2,9.0,9.0,4.5
Strathmore Still 750 ml,Soft Drinks,2,9.0,9.0,4.5
Strawberry Collar,Mocktails,2,11.0,11.0,5.5
Tandoori Aloo Paratha,ARTISANAL INDIAN BREAD,5,22.25,22.25,4.45
Tandoori Malai Soya Chaap,Veg Starters,2,11.01,11.01,5.5
Tandoori Mix Grill Non Veg Platter,Non-Veg Starters,4,79.8,79.8,19.95
Tandoori Roti,ARTISANAL INDIAN BREAD,17,58.13,58.13,3.42
Tandoori Veg grill platter,Veg Starters,1,15.95,15.95,15.95
Tangdi Kebab,Non-Veg Starters,5,34.75,34.75,6.95
Thums-up Can,Soft Drinks,2,7.0,7.0,3.5
Veg Fried Momos,Fusion Indo Chinese Starters,1,7.45,7.45,7.45
Veg Fried Rice,Fusion Indo Chinese Rice,3,20.85,20.85,6.95
Veg Hakka Noodles,Fusion Indo Chinese Noodles,1,6.45,6.45,6.45
Veg Manchurian,Fusion Indo Chinese Starters,3,14.9,14.9,4.97
Veg Manchurian Gravy,Fusion Indo Chinese Dishes,6,56.7,56.7,9.45
Veg Schezwan Rice,Fusion Indo Chinese Rice,3,20.85,20.85,6.95
Veg Spring Roll,Fusion Indo Chinese Starters,1,6.45,6.45,6.45
White Rose Zinfandel Rose (United States),RED WINE,1,6.2,6.2,6.2
